reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,55.815247399842285,55.815247399842285,iJO1366,glucose_aerobic
EX_h2o_e,45.619430370035026,45.619430370035026,iJO1366,glucose_aerobic
H2Otpp,-45.619430370035026,45.619430370035026,iJO1366,glucose_aerobic
H2Otex,-45.61943037003502,45.61943037003502,iJO1366,glucose_aerobic
CYTBO3_4pp,35.14953949465204,35.14953949465204,iJO1366,glucose_aerobic
NADH16pp,31.021723067218836,31.021723067218836,iJO1366,glucose_aerobic
CO2tex,-19.675222635663225,19.675222635663225,iJO1366,glucose_aerobic
CO2tpp,-19.675222635663225,19.675222635663225,iJO1366,glucose_aerobic
EX_co2_e,19.675222635663225,19.675222635663225,iJO1366,glucose_aerobic
EX_o2_e,-17.57893353025426,17.57893353025426,iJO1366,glucose_aerobic
O2tex,17.57893353025426,17.57893353025426,iJO1366,glucose_aerobic
O2tpp,17.57893353025426,17.57893353025426,iJO1366,glucose_aerobic
GAPD,16.274774634589484,16.274774634589484,iJO1366,glucose_aerobic
PGK,-16.274774634589484,16.274774634589484,iJO1366,glucose_aerobic
ENO,14.586890401186839,14.586890401186839,iJO1366,glucose_aerobic
PGM,-14.586890401186837,14.586890401186837,iJO1366,glucose_aerobic
EX_nh4_e,-10.610425051825061,10.610425051825061,iJO1366,glucose_aerobic
NH4tex,10.610425051825061,10.610425051825061,iJO1366,glucose_aerobic
NH4tpp,10.610425051825061,10.610425051825061,iJO1366,glucose_aerobic
GLCptspp,10.0,10.0,iJO1366,glucose_aerobic
GLCtex_copy1,10.0,10.0,iJO1366,glucose_aerobic
EX_glc__D_e,-10.0,10.0,iJO1366,glucose_aerobic
Htex,-9.026260125596009,9.026260125596009,iJO1366,glucose_aerobic
EX_h_e,9.026260125596009,9.026260125596009,iJO1366,glucose_aerobic
GLUDy,-8.400956398685903,8.400956398685903,iJO1366,glucose_aerobic
PDH,7.969186891483117,7.969186891483117,iJO1366,glucose_aerobic
